country,year,metric,value,unit,source_dataset
UK,2020,gdp_real_meur,2813660,MEUR_CLV,ONS ABMI Blue Book 2023 rebasing artifact
UK,2021,gdp_real_meur,3054035,MEUR_CLV,ONS ABMI converted
UK,2022,gdp_real_meur,3211308,MEUR_CLV,ONS ABMI converted
UK,2023,gdp_real_meur,3220032,MEUR_CLV,ONS ABMI converted
CH,2015,heat_residential_TJ,154900,TJ,BFE Privathaushalte 2000-2019 Tab 8/11 Raumwaerme
CH,2016,heat_residential_TJ,165100,TJ,BFE Privathaushalte 2000-2019 Tab 8/11
CH,2017,heat_residential_TJ,161300,TJ,BFE Privathaushalte 2000-2023 Tab 11
CH,2018,heat_residential_TJ,147000,TJ,BFE Privathaushalte 2000-2023 Tab 11
CH,2019,heat_residential_TJ,149800,TJ,BFE Privathaushalte 2000-2023 Tab 11
CH,2020,heat_residential_TJ,140100,TJ,BFE Privathaushalte 2000-2023 Tab 11
CH,2021,heat_residential_TJ,166200,TJ,BFE Privathaushalte 2000-2023 Tab 11
CH,2022,heat_residential_TJ,131800,TJ,BFE Privathaushalte 2000-2023 Tab 11
CH,2023,heat_residential_TJ,136800,TJ,BFE Privathaushalte 2000-2023 Tab 11
CH,2015,hdd,3631.4,degree-days,Eurostat nrg_chdd_a
CH,2016,hdd,3773.7,degree-days,Eurostat nrg_chdd_a
CH,2017,hdd,3773.3,degree-days,Eurostat nrg_chdd_a
CH,2018,hdd,3488.4,degree-days,Eurostat nrg_chdd_a
CH,2019,hdd,3647.7,degree-days,Eurostat nrg_chdd_a
CH,2020,hdd,3495.9,degree-days,Eurostat nrg_chdd_a
CH,2021,hdd,3888.2,degree-days,Eurostat nrg_chdd_a
CH,2022,hdd,3349.5,degree-days,Eurostat nrg_chdd_a
CH,2023,hdd,3389.1,degree-days,Eurostat nrg_chdd_a
CH,2015,electricity_residential_TJ,68700,TJ,BFE Privathaushalte Tab 10
CH,2016,electricity_residential_TJ,69600,TJ,BFE Privathaushalte Tab 10
CH,2017,electricity_residential_TJ,70200,TJ,BFE Privathaushalte Tab 10
CH,2018,electricity_residential_TJ,68800,TJ,BFE Privathaushalte Tab 10
CH,2019,electricity_residential_TJ,68700,TJ,BFE Privathaushalte Tab 10
CH,2020,electricity_residential_TJ,69200,TJ,BFE Privathaushalte Tab 10
CH,2021,electricity_residential_TJ,71500,TJ,BFE Privathaushalte Tab 10
CH,2022,electricity_residential_TJ,67600,TJ,BFE Privathaushalte Tab 10
CH,2023,electricity_residential_TJ,69000,TJ,BFE Privathaushalte Tab 10
CH,2015,population,8282000,persons,BFS via BFE Tab 11
CH,2016,population,8373000,persons,BFS via BFE Tab 11
CH,2017,population,8452000,persons,BFS via BFE Tab 11
CH,2018,population,8514000,persons,BFS via BFE Tab 11
CH,2019,population,8575000,persons,BFS via BFE Tab 11
CH,2020,population,8638000,persons,BFS via BFE Tab 11
CH,2021,population,8703000,persons,BFS via BFE Tab 11
CH,2022,population,8815400,persons,BFS press release 2022 final
CH,2023,population,8962300,persons,BFS press release 2023 definitive
CH,2015,gdp_real_meur,631521,MEUR_CLV,SECO real GDP CHF converted at CHF-EUR 0.929
CH,2016,gdp_real_meur,644434,MEUR_CLV,SECO converted
CH,2017,gdp_real_meur,654653,MEUR_CLV,SECO converted
CH,2018,gdp_real_meur,673791,MEUR_CLV,SECO converted
CH,2019,gdp_real_meur,681873,MEUR_CLV,SECO converted
CH,2020,gdp_real_meur,665617,MEUR_CLV,SECO converted
CH,2021,gdp_real_meur,690142,MEUR_CLV,SECO converted
