country,year,tech,capacity_gw,tag
BG,2025,battery_gw,0.85,necp
BG,2030,battery_gw,1.0,necp
BG,2040,battery_gw,3.0,necp
BG,2050,battery_gw,5.0,necp
CY,2025,nuclear,0.0,proxy
CY,2030,nuclear,0.0,proxy
CY,2040,nuclear,0.0,proxy
CY,2050,nuclear,0.0,proxy
CY,2025,hydro,0.0,proxy
CY,2030,hydro,0.0,proxy
CY,2040,hydro,0.0,proxy
CY,2050,hydro,0.0,proxy
CY,2025,wind_on,0.17,proxy
CY,2030,wind_on,0.2,proxy
CY,2040,wind_on,0.35,proxy
CY,2050,wind_on,0.5,proxy
CY,2025,wind_off,0.0,proxy
CY,2030,wind_off,0.0,proxy
CY,2040,wind_off,0.15,proxy
CY,2050,wind_off,0.3,proxy
CY,2025,solar,0.59,proxy
CY,2030,solar,0.7,proxy
CY,2040,solar,1.85,proxy
CY,2050,solar,3.0,proxy
CY,2025,gas,1.1,proxy
CY,2030,gas,1.1,proxy
CY,2040,gas,1.15,proxy
CY,2050,gas,1.2,proxy
CY,2025,coal,0.0,proxy
CY,2030,coal,0.0,proxy
CY,2040,coal,0.0,proxy
CY,2050,coal,0.0,proxy
CY,2025,biomass,0.01,proxy
CY,2030,biomass,0.01,proxy
CY,2040,biomass,0.03,proxy
CY,2050,biomass,0.05,proxy
CY,2025,battery_gw,0.09,proxy
CY,2030,battery_gw,0.1,proxy
CY,2040,battery_gw,0.55,proxy
CY,2050,battery_gw,1.0,proxy
CZ,2025,nuclear,4.0,necp
CZ,2030,nuclear,4.0,necp
CZ,2040,nuclear,5.0,necp
CZ,2050,nuclear,6.0,necp
CZ,2025,hydro,2.0,necp
CZ,2030,hydro,2.0,necp
CZ,2040,hydro,2.0,necp
CZ,2050,hydro,2.0,necp
CZ,2025,wind_on,0.26,necp
CZ,2030,wind_on,0.3,necp
CZ,2040,wind_on,1.65,necp
CZ,2050,wind_on,3.0,necp
CZ,2025,wind_off,0.0,necp
CZ,2030,wind_off,0.0,necp
CZ,2040,wind_off,0.0,necp
CZ,2050,wind_off,0.0,necp
CZ,2025,solar,4.25,necp
CZ,2030,solar,5.0,necp
CZ,2040,solar,12.5,necp
CZ,2050,solar,20.0,necp
CZ,2025,gas,2.0,necp
CZ,2030,gas,2.0,necp
CZ,2040,gas,3.0,necp
CZ,2050,gas,4.0,necp
CZ,2025,coal,6.0,necp
CZ,2030,coal,6.0,necp
CZ,2040,coal,3.5,necp
CZ,2050,coal,1.0,necp
CZ,2025,biomass,0.4,necp
CZ,2030,biomass,0.4,necp
CZ,2040,biomass,0.7,necp
CZ,2050,biomass,1.0,necp
CZ,2025,battery_gw,0.85,necp
CZ,2030,battery_gw,1.0,necp
CZ,2040,battery_gw,3.5,necp
CZ,2050,battery_gw,6.0,necp
DE,2025,nuclear,0.0,anchored
DE,2030,nuclear,0.0,anchored
DE,2040,nuclear,0.0,anchored
DE,2050,nuclear,0.0,anchored
DE,2025,hydro,6.0,anchored
DE,2030,hydro,6.0,anchored
DE,2040,hydro,6.0,anchored
DE,2050,hydro,6.0,anchored
DE,2025,wind_on,63.0,anchored
DE,2030,wind_on,115.0,anchored
DE,2040,wind_on,137.5,anchored
DE,2050,wind_on,160.0,anchored
DE,2025,wind_off,9.0,anchored
DE,2030,wind_off,30.0,anchored
DE,2040,wind_off,50.0,anchored
DE,2050,wind_off,70.0,anchored
DE,2025,solar,100.0,anchored
DE,2030,solar,215.0,anchored
DE,2040,solar,307.5,anchored
DE,2050,solar,400.0,anchored
DE,2025,gas,33.0,anchored
DE,2030,gas,45.0,anchored
DE,2040,gas,45.0,anchored
DE,2050,gas,45.0,anchored
DE,2025,coal,37.0,anchored
DE,2030,coal,15.0,anchored
DE,2040,coal,7.5,anchored
DE,2050,coal,0.0,anchored
DE,2025,biomass,9.0,anchored
DE,2030,biomass,9.0,anchored
DE,2040,biomass,9.0,anchored
DE,2050,biomass,9.0,anchored
DE,2025,battery_gw,12.0,anchored
DE,2030,battery_gw,25.0,anchored
DE,2040,battery_gw,57.5,anchored
DE,2050,battery_gw,90.0,anchored
DK,2025,nuclear,0.0,necp
DK,2030,nuclear,0.0,necp
DK,2040,nuclear,0.0,necp
DK,2050,nuclear,0.0,necp
DK,2025,hydro,0.0,necp
DK,2030,hydro,0.0,necp
DK,2040,hydro,0.0,necp
DK,2050,hydro,0.0,necp
DK,2025,wind_on,4.25,necp
DK,2030,wind_on,5.0,necp
DK,2040,wind_on,6.5,necp
DK,2050,wind_on,8.0,necp
DK,2025,wind_off,6.8,necp
DK,2030,wind_off,8.0,necp
DK,2040,wind_off,13.0,necp
DK,2050,wind_off,18.0,necp
DK,2025,solar,6.8,necp
DK,2030,solar,8.0,necp
DK,2040,solar,13.0,necp
DK,2050,solar,18.0,necp
DK,2025,gas,1.0,necp
DK,2030,gas,1.0,necp
DK,2040,gas,1.0,necp
DK,2050,gas,1.0,necp
DK,2025,coal,1.0,necp
DK,2030,coal,1.0,necp
DK,2040,coal,0.5,necp
DK,2050,coal,0.0,necp
DK,2025,biomass,3.0,necp
DK,2030,biomass,3.0,necp
DK,2040,biomass,3.0,necp
DK,2050,biomass,3.0,necp
DK,2025,battery_gw,0.85,necp
DK,2030,battery_gw,1.0,necp
DK,2040,battery_gw,3.5,necp
DK,2050,battery_gw,6.0,necp
EE,2025,nuclear,0.0,necp
EE,2030,nuclear,0.0,necp
EE,2040,nuclear,0.15,necp
EE,2050,nuclear,0.3,necp
EE,2025,hydro,0.01,necp
EE,2030,hydro,0.01,necp
EE,2040,hydro,0.01,necp
EE,2050,hydro,0.01,necp
EE,2025,wind_on,0.85,necp
EE,2030,wind_on,1.0,necp
EE,2040,wind_on,2.5,necp
EE,2050,wind_on,4.0,necp
EE,2025,wind_off,0.0,necp
EE,2030,wind_off,0.0,necp
EE,2040,wind_off,0.5,necp
EE,2050,wind_off,1.0,necp
EE,2025,solar,0.85,necp
EE,2030,solar,1.0,necp
EE,2040,solar,2.5,necp
EE,2050,solar,4.0,necp
EE,2025,gas,0.2,necp
EE,2030,gas,0.2,necp
EE,2040,gas,0.2,necp
EE,2050,gas,0.2,necp
EE,2025,coal,1.0,necp
EE,2030,coal,1.0,necp
EE,2040,coal,0.5,necp
EE,2050,coal,0.0,necp
EE,2025,biomass,0.3,necp
EE,2030,biomass,0.3,necp
EE,2040,biomass,0.35,necp
EE,2050,biomass,0.4,necp
EE,2025,battery_gw,0.09,necp
EE,2030,battery_gw,0.1,necp
EE,2040,battery_gw,0.55,necp
EE,2050,battery_gw,1.0,necp
EL,2025,nuclear,0.0,necp
EL,2030,nuclear,0.0,necp
EL,2040,nuclear,0.0,necp
EL,2050,nuclear,0.0,necp
EL,2025,hydro,3.0,necp
EL,2030,hydro,3.0,necp
EL,2040,hydro,3.5,necp
EL,2050,hydro,4.0,necp
EL,2025,wind_on,5.95,necp
EL,2030,wind_on,7.0,necp
EL,2040,wind_on,10.5,necp
EL,2050,wind_on,14.0,necp
EL,2025,wind_off,0.0,necp
EL,2030,wind_off,0.0,necp
EL,2040,wind_off,1.5,necp
EL,2050,wind_off,3.0,necp
EL,2025,solar,11.05,necp
EL,2030,solar,13.0,necp
EL,2040,solar,21.5,necp
EL,2050,solar,30.0,necp
EL,2025,gas,6.0,necp
EL,2030,gas,6.0,necp
EL,2040,gas,5.5,necp
EL,2050,gas,5.0,necp
EL,2025,coal,1.0,necp
EL,2030,coal,1.0,necp
EL,2040,coal,0.5,necp
EL,2050,coal,0.0,necp
EL,2025,biomass,0.1,necp
EL,2030,biomass,0.1,necp
EL,2040,biomass,0.2,necp
EL,2050,biomass,0.3,necp
EL,2025,battery_gw,2.55,necp
EL,2030,battery_gw,3.0,necp
EL,2040,battery_gw,7.5,necp
EL,2050,battery_gw,12.0,necp
ES,2025,nuclear,7.0,anchored
ES,2030,nuclear,3.0,anchored
ES,2040,nuclear,1.5,anchored
ES,2050,nuclear,0.0,anchored
ES,2025,hydro,17.0,anchored
ES,2030,hydro,17.0,anchored
ES,2040,hydro,17.0,anchored
ES,2050,hydro,17.0,anchored
ES,2025,wind_on,31.0,anchored
ES,2030,wind_on,59.0,anchored
ES,2040,wind_on,74.5,anchored
ES,2050,wind_on,90.0,anchored
ES,2025,wind_off,0.0,anchored
ES,2030,wind_off,3.0,anchored
ES,2040,wind_off,7.5,anchored
ES,2050,wind_off,12.0,anchored
ES,2025,solar,33.0,anchored
ES,2030,solar,76.0,anchored
ES,2040,solar,118.0,anchored
ES,2050,solar,160.0,anchored
ES,2025,gas,27.0,anchored
ES,2030,gas,26.0,anchored
ES,2040,gas,22.0,anchored
ES,2050,gas,18.0,anchored
ES,2025,coal,2.0,anchored
ES,2030,coal,2.0,anchored
ES,2040,coal,1.0,anchored
ES,2050,coal,0.0,anchored
ES,2025,biomass,1.0,anchored
ES,2030,biomass,1.0,anchored
ES,2040,biomass,1.5,anchored
ES,2050,biomass,2.0,anchored
ES,2025,battery_gw,3.0,anchored
ES,2030,battery_gw,13.0,anchored
ES,2040,battery_gw,29.0,anchored
ES,2050,battery_gw,45.0,anchored
FI,2025,nuclear,4.0,necp
FI,2030,nuclear,4.0,necp
FI,2040,nuclear,4.0,necp
FI,2050,nuclear,4.0,necp
FI,2025,hydro,3.0,necp
FI,2030,hydro,3.0,necp
FI,2040,hydro,3.0,necp
FI,2050,hydro,3.0,necp
FI,2025,wind_on,7.65,necp
FI,2030,wind_on,9.0,necp
FI,2040,wind_on,15.5,necp
FI,2050,wind_on,22.0,necp
FI,2025,wind_off,0.85,necp
FI,2030,wind_off,1.0,necp
FI,2040,wind_off,2.5,necp
FI,2050,wind_off,4.0,necp
FI,2025,solar,0.85,necp
FI,2030,solar,1.0,necp
FI,2040,solar,3.5,necp
FI,2050,solar,6.0,necp
FI,2025,gas,1.0,necp
FI,2030,gas,1.0,necp
FI,2040,gas,1.0,necp
FI,2050,gas,1.0,necp
FI,2025,coal,1.0,necp
FI,2030,coal,1.0,necp
FI,2040,coal,0.5,necp
FI,2050,coal,0.0,necp
FI,2025,biomass,4.0,necp
FI,2030,biomass,4.0,necp
FI,2040,biomass,4.0,necp
FI,2050,biomass,4.0,necp
FI,2025,battery_gw,0.85,necp
FI,2030,battery_gw,1.0,necp
FI,2040,battery_gw,3.0,necp
FI,2050,battery_gw,5.0,necp
FR,2025,nuclear,63.0,anchored
FR,2030,nuclear,58.0,anchored
FR,2040,nuclear,59.0,anchored
FR,2050,nuclear,60.0,anchored
FR,2025,hydro,26.0,anchored
FR,2030,hydro,26.0,anchored
FR,2040,hydro,26.5,anchored
FR,2050,hydro,27.0,anchored
FR,2025,wind_on,24.0,anchored
FR,2030,wind_on,35.0,anchored
FR,2040,wind_on,46.5,anchored
FR,2050,wind_on,58.0,anchored
FR,2025,wind_off,1.5,anchored
FR,2030,wind_off,4.0,anchored
FR,2040,wind_off,14.5,anchored
FR,2050,wind_off,25.0,anchored
FR,2025,solar,22.0,anchored
FR,2030,solar,45.0,anchored
FR,2040,solar,67.5,anchored
FR,2050,solar,90.0,anchored
FR,2025,gas,12.0,anchored
FR,2030,gas,9.0,anchored
FR,2040,gas,7.5,anchored
FR,2050,gas,6.0,anchored
FR,2025,coal,1.5,anchored
FR,2030,coal,1.0,anchored
FR,2040,coal,0.5,anchored
FR,2050,coal,0.0,anchored
FR,2025,biomass,2.0,anchored
FR,2030,biomass,2.0,anchored
FR,2040,biomass,2.5,anchored
FR,2050,biomass,3.0,anchored
FR,2025,battery_gw,1.0,anchored
FR,2030,battery_gw,4.0,anchored
FR,2040,battery_gw,12.0,anchored
FR,2050,battery_gw,20.0,anchored
HR,2025,nuclear,0.0,necp
HR,2030,nuclear,0.0,necp
HR,2040,nuclear,0.0,necp
HR,2050,nuclear,0.0,necp
HR,2025,hydro,2.2,necp
HR,2030,hydro,2.2,necp
HR,2040,hydro,2.35,necp
HR,2050,hydro,2.5,necp
HR,2025,wind_on,1.19,necp
HR,2030,wind_on,1.4,necp
HR,2040,wind_on,2.7,necp
HR,2050,wind_on,4.0,necp
HR,2025,wind_off,0.0,necp
HR,2030,wind_off,0.0,necp
HR,2040,wind_off,0.5,necp
HR,2050,wind_off,1.0,necp
HR,2025,solar,1.7,necp
HR,2030,solar,2.0,necp
HR,2040,solar,5.0,necp
HR,2050,solar,8.0,necp
HR,2025,gas,1.0,necp
HR,2030,gas,1.0,necp
HR,2040,gas,1.0,necp
HR,2050,gas,1.0,necp
HR,2025,coal,0.2,necp
HR,2030,coal,0.2,necp
HR,2040,coal,0.1,necp
HR,2050,coal,0.0,necp
HR,2025,biomass,0.1,necp
HR,2030,biomass,0.1,necp
HR,2040,biomass,0.15,necp
HR,2050,biomass,0.2,necp
HR,2025,battery_gw,0.26,necp
HR,2030,battery_gw,0.3,necp
HR,2040,battery_gw,1.15,necp
HR,2050,battery_gw,2.0,necp
HU,2025,nuclear,2.0,necp
HU,2030,nuclear,2.0,necp
HU,2040,nuclear,3.0,necp
HU,2050,nuclear,4.0,necp
HU,2025,hydro,0.1,necp
HU,2030,hydro,0.1,necp
HU,2040,hydro,0.1,necp
HU,2050,hydro,0.1,necp
HU,2025,wind_on,0.26,necp
HU,2030,wind_on,0.3,necp
HU,2040,wind_on,1.15,necp
HU,2050,wind_on,2.0,necp
HU,2025,wind_off,0.0,necp
HU,2030,wind_off,0.0,necp
HU,2040,wind_off,0.0,necp
HU,2050,wind_off,0.0,necp
HU,2025,solar,5.95,necp
HU,2030,solar,7.0,necp
HU,2040,solar,12.5,necp
HU,2050,solar,18.0,necp
HU,2025,gas,4.0,necp
HU,2030,gas,4.0,necp
HU,2040,gas,4.0,necp
HU,2050,gas,4.0,necp
HU,2025,coal,1.0,necp
HU,2030,coal,1.0,necp
HU,2040,coal,0.5,necp
HU,2050,coal,0.0,necp
HU,2025,biomass,0.5,necp
HU,2030,biomass,0.5,necp
HU,2040,biomass,0.75,necp
HU,2050,biomass,1.0,necp
HU,2025,battery_gw,0.85,necp
HU,2030,battery_gw,1.0,necp
HU,2040,battery_gw,3.5,necp
HU,2050,battery_gw,6.0,necp
IE,2025,nuclear,0.0,necp
IE,2030,nuclear,0.0,necp
IE,2040,nuclear,0.0,necp
IE,2050,nuclear,0.0,necp
IE,2025,hydro,0.2,necp
IE,2030,hydro,0.2,necp
IE,2040,hydro,0.2,necp
IE,2050,hydro,0.2,necp
IE,2025,wind_on,5.1,necp
IE,2030,wind_on,6.0,necp
IE,2040,wind_on,8.5,necp
IE,2050,wind_on,11.0,necp
IE,2025,wind_off,1.7,necp
IE,2030,wind_off,2.0,necp
IE,2040,wind_off,5.5,necp
IE,2050,wind_off,9.0,necp
IE,2025,solar,2.55,necp
IE,2030,solar,3.0,necp
IE,2040,solar,6.5,necp
IE,2050,solar,10.0,necp
IE,2025,gas,5.0,necp
IE,2030,gas,5.0,necp
IE,2040,gas,4.5,necp
IE,2050,gas,4.0,necp
IE,2025,coal,0.0,necp
IE,2030,coal,0.0,necp
IE,2040,coal,0.0,necp
IE,2050,coal,0.0,necp
IE,2025,biomass,0.3,necp
IE,2030,biomass,0.3,necp
IE,2040,biomass,0.4,necp
IE,2050,biomass,0.5,necp
IE,2025,battery_gw,0.85,necp
IE,2030,battery_gw,1.0,necp
IE,2040,battery_gw,3.5,necp
IE,2050,battery_gw,6.0,necp
IT,2025,nuclear,0.0,anchored
IT,2030,nuclear,0.0,anchored
IT,2040,nuclear,2.0,anchored
IT,2050,nuclear,4.0,anchored
IT,2025,hydro,19.0,anchored
IT,2030,hydro,19.0,anchored
IT,2040,hydro,19.5,anchored
IT,2050,hydro,20.0,anchored
IT,2025,wind_on,12.0,anchored
IT,2030,wind_on,26.0,anchored
IT,2040,wind_on,35.5,anchored
IT,2050,wind_on,45.0,anchored
IT,2025,wind_off,0.1,anchored
IT,2030,wind_off,2.0,anchored
IT,2040,wind_off,10.0,anchored
IT,2050,wind_off,18.0,anchored
IT,2025,solar,37.0,anchored
IT,2030,solar,79.0,anchored
IT,2040,solar,114.5,anchored
IT,2050,solar,150.0,anchored
IT,2025,gas,50.0,anchored
IT,2030,gas,45.0,anchored
IT,2040,gas,40.0,anchored
IT,2050,gas,35.0,anchored
IT,2025,coal,6.0,anchored
IT,2030,coal,3.0,anchored
IT,2040,coal,1.5,anchored
IT,2050,coal,0.0,anchored
IT,2025,biomass,4.0,anchored
IT,2030,biomass,4.0,anchored
IT,2040,biomass,4.0,anchored
IT,2050,biomass,4.0,anchored
IT,2025,battery_gw,5.0,anchored
IT,2030,battery_gw,15.0,anchored
IT,2040,battery_gw,37.5,anchored
IT,2050,battery_gw,60.0,anchored
LT,2025,nuclear,0.0,necp
LT,2030,nuclear,0.0,necp
LT,2040,nuclear,0.0,necp
LT,2050,nuclear,0.0,necp
LT,2025,hydro,1.0,necp
LT,2030,hydro,1.0,necp
LT,2040,hydro,1.05,necp
LT,2050,hydro,1.1,necp
LT,2025,wind_on,1.7,necp
LT,2030,wind_on,2.0,necp
LT,2040,wind_on,3.5,necp
LT,2050,wind_on,5.0,necp
LT,2025,wind_off,0.0,necp
LT,2030,wind_off,0.0,necp
LT,2040,wind_off,0.7,necp
LT,2050,wind_off,1.4,necp
LT,2025,solar,1.7,necp
LT,2030,solar,2.0,necp
LT,2040,solar,4.5,necp
LT,2050,solar,7.0,necp
LT,2025,gas,1.0,necp
LT,2030,gas,1.0,necp
LT,2040,gas,1.0,necp
LT,2050,gas,1.0,necp
LT,2025,coal,0.0,necp
LT,2030,coal,0.0,necp
LT,2040,coal,0.0,necp
LT,2050,coal,0.0,necp
LT,2025,biomass,0.3,necp
LT,2030,biomass,0.3,necp
LT,2040,biomass,0.4,necp
LT,2050,biomass,0.5,necp
LT,2025,battery_gw,0.17,necp
LT,2030,battery_gw,0.2,necp
LT,2040,battery_gw,1.1,necp
LT,2050,battery_gw,2.0,necp
LU,2025,nuclear,0.0,proxy
LU,2030,nuclear,0.0,proxy
LU,2040,nuclear,0.0,proxy
LU,2050,nuclear,0.0,proxy
LU,2025,hydro,1.3,proxy
LU,2030,hydro,1.3,proxy
LU,2040,hydro,1.3,proxy
LU,2050,hydro,1.3,proxy
LU,2025,wind_on,0.17,proxy
LU,2030,wind_on,0.2,proxy
LU,2040,wind_on,0.4,proxy
LU,2050,wind_on,0.6,proxy
LU,2025,wind_off,0.0,proxy
LU,2030,wind_off,0.0,proxy
LU,2040,wind_off,0.0,proxy
LU,2050,wind_off,0.0,proxy
LU,2025,solar,0.42,proxy
LU,2030,solar,0.5,proxy
LU,2040,solar,1.25,proxy
LU,2050,solar,2.0,proxy
LU,2025,gas,0.4,proxy
LU,2030,gas,0.4,proxy
LU,2040,gas,0.35,proxy
LU,2050,gas,0.3,proxy
LU,2025,coal,0.0,proxy
LU,2030,coal,0.0,proxy
LU,2040,coal,0.0,proxy
LU,2050,coal,0.0,proxy
LU,2025,biomass,0.1,proxy
LU,2030,biomass,0.1,proxy
LU,2040,biomass,0.1,proxy
LU,2050,biomass,0.1,proxy
LU,2025,battery_gw,0.04,proxy
LU,2030,battery_gw,0.05,proxy
LU,2040,battery_gw,0.28,proxy
LU,2050,battery_gw,0.5,proxy
LV,2025,nuclear,0.0,necp
LV,2030,nuclear,0.0,necp
LV,2040,nuclear,0.0,necp
LV,2050,nuclear,0.0,necp
LV,2025,hydro,1.6,necp
LV,2030,hydro,1.6,necp
LV,2040,hydro,1.6,necp
LV,2050,hydro,1.6,necp
LV,2025,wind_on,0.85,necp
LV,2030,wind_on,1.0,necp
LV,2040,wind_on,2.0,necp
LV,2050,wind_on,3.0,necp
LV,2025,wind_off,0.0,necp
LV,2030,wind_off,0.0,necp
LV,2040,wind_off,0.2,necp
LV,2050,wind_off,0.4,necp
LV,2025,solar,0.85,necp
LV,2030,solar,1.0,necp
LV,2040,solar,2.5,necp
LV,2050,solar,4.0,necp
LV,2025,gas,1.0,necp
LV,2030,gas,1.0,necp
LV,2040,gas,1.0,necp
LV,2050,gas,1.0,necp
LV,2025,coal,0.0,necp
LV,2030,coal,0.0,necp
LV,2040,coal,0.0,necp
LV,2050,coal,0.0,necp
LV,2025,biomass,0.2,necp
LV,2030,biomass,0.2,necp
LV,2040,biomass,0.3,necp
LV,2050,biomass,0.4,necp
LV,2025,battery_gw,0.09,necp
LV,2030,battery_gw,0.1,necp
LV,2040,battery_gw,0.55,necp
LV,2050,battery_gw,1.0,necp
MT,2025,nuclear,0.0,proxy
MT,2030,nuclear,0.0,proxy
MT,2040,nuclear,0.0,proxy
MT,2050,nuclear,0.0,proxy
MT,2025,hydro,0.0,proxy
MT,2030,hydro,0.0,proxy
MT,2040,hydro,0.0,proxy
MT,2050,hydro,0.0,proxy
MT,2025,wind_on,0.0,proxy
MT,2030,wind_on,0.0,proxy
MT,2040,wind_on,0.0,proxy
MT,2050,wind_on,0.0,proxy
MT,2025,wind_off,0.0,proxy
MT,2030,wind_off,0.0,proxy
MT,2040,wind_off,0.15,proxy
MT,2050,wind_off,0.3,proxy
MT,2025,solar,0.26,proxy
MT,2030,solar,0.3,proxy
MT,2040,solar,0.65,proxy
MT,2050,solar,1.0,proxy
MT,2025,gas,0.7,proxy
MT,2030,gas,0.7,proxy
MT,2040,gas,0.7,proxy
MT,2050,gas,0.7,proxy
MT,2025,coal,0.0,proxy
MT,2030,coal,0.0,proxy
MT,2040,coal,0.0,proxy
MT,2050,coal,0.0,proxy
MT,2025,biomass,0.01,proxy
MT,2030,biomass,0.01,proxy
MT,2040,biomass,0.01,proxy
MT,2050,biomass,0.02,proxy
MT,2025,battery_gw,0.04,proxy
MT,2030,battery_gw,0.05,proxy
MT,2040,battery_gw,0.23,proxy
MT,2050,battery_gw,0.4,proxy
NL,2025,nuclear,0.5,anchored
NL,2030,nuclear,0.5,anchored
NL,2040,nuclear,1.75,anchored
NL,2050,nuclear,3.0,anchored
NL,2025,hydro,0.0,anchored
NL,2030,hydro,0.0,anchored
NL,2040,hydro,0.0,anchored
NL,2050,hydro,0.0,anchored
NL,2025,wind_on,7.0,anchored
NL,2030,wind_on,8.0,anchored
NL,2040,wind_on,10.0,anchored
NL,2050,wind_on,12.0,anchored
NL,2025,wind_off,4.5,anchored
NL,2030,wind_off,21.0,anchored
NL,2040,wind_off,35.5,anchored
NL,2050,wind_off,50.0,anchored
NL,2025,solar,24.0,anchored
NL,2030,solar,30.0,anchored
NL,2040,solar,55.0,anchored
NL,2050,solar,80.0,anchored
NL,2025,gas,20.0,anchored
NL,2030,gas,18.0,anchored
NL,2040,gas,15.0,anchored
NL,2050,gas,12.0,anchored
NL,2025,coal,4.0,anchored
NL,2030,coal,2.0,anchored
NL,2040,coal,1.0,anchored
NL,2050,coal,0.0,anchored
NL,2025,biomass,3.0,anchored
NL,2030,biomass,3.0,anchored
NL,2040,biomass,3.0,anchored
NL,2050,biomass,3.0,anchored
NL,2025,battery_gw,2.0,anchored
NL,2030,battery_gw,6.0,anchored
NL,2040,battery_gw,15.5,anchored
NL,2050,battery_gw,25.0,anchored
PL,2025,nuclear,0.0,anchored
PL,2030,nuclear,0.0,anchored
PL,2040,nuclear,4.5,anchored
PL,2050,nuclear,9.0,anchored
PL,2025,hydro,2.0,anchored
PL,2030,hydro,2.0,anchored
PL,2040,hydro,2.5,anchored
PL,2050,hydro,3.0,anchored
PL,2025,wind_on,10.0,anchored
PL,2030,wind_on,20.0,anchored
PL,2040,wind_on,26.0,anchored
PL,2050,wind_on,32.0,anchored
PL,2025,wind_off,0.0,anchored
PL,2030,wind_off,6.0,anchored
PL,2040,wind_off,12.0,anchored
PL,2050,wind_off,18.0,anchored
PL,2025,solar,18.0,anchored
PL,2030,solar,27.0,anchored
PL,2040,solar,43.5,anchored
PL,2050,solar,60.0,anchored
PL,2025,gas,4.0,anchored
PL,2030,gas,12.0,anchored
PL,2040,gas,13.0,anchored
PL,2050,gas,14.0,anchored
PL,2025,coal,28.0,anchored
PL,2030,coal,20.0,anchored
PL,2040,coal,11.0,anchored
PL,2050,coal,2.0,anchored
PL,2025,biomass,2.0,anchored
PL,2030,biomass,2.0,anchored
PL,2040,biomass,2.5,anchored
PL,2050,biomass,3.0,anchored
PL,2025,battery_gw,1.0,anchored
PL,2030,battery_gw,4.0,anchored
